*7650
0000+49   BD 49 4329  
1807+69   3C 371 DRA  
1807-18   HD 312858   
1807-21   MU SGR      
1807-23   AP SGR      
1807-25   V3795 SGR   
1807-27   V1830 SGR   
1807-27B  V1953 SGR   
1807-31   V1175 SGR   
1807-32   V4160 SGR   
1807-42   Y CRA       
1807-54   AY TEL      
1807-56   AZ TEL      
1808+31   PZ HER      
1808+31B  V669 HER    
1808-27   V2293 SGR   
1808-29   VZ SGR      
1808-29B  V2756 SGR   
1808-29C  V1581 SGR   
1808-30   V3914 SGR   
1808-37   AL CRA      
1808-42   V426 CRA    
1809+11   V849 OPH    
1809-00   FG SER      
1809-00B  AZ SER      
1809-23   V1583 SGR   
1809-27   V2323 SGR   
1809-29   V1582 SGR   
1809-30   V4074 SGR   
1809-30B  HD 167362   
1809-35   V2838 SGR   
1809-65   DF PAV      
1810+00   V498 OPH    
1810+10   V406 OPH    
1810+20   YY HER      
1810+20B  118 COMP W  
1810+31   TV HER      
1810+31B  126 VAR? E  
1810+37   V676 HER    
1810-00   BB SER      
1810-29   V1585 SGR   
1810-36   GI SGR      
1810-36B  ETA SGR     
1810-42   V387 CRA    
1810-43   V427 CRA    
1810-56   VV TEL      
1810-66   AR PAV      
1811+02   V2392 OPH   
1811+03   RY OPH      
1811+03B  113 VAR? W  
1811+36   W LYR       
1811+36B  KAPPA LYR   
1811+36C  87 COMP SE  
1811+36D  94 COMP W   
1811+36E  112 COMP S  
1811+36F  108 COMP E  
1811+36G  STAR SW     
1811+36H  78 COMP NE  
1811+41   V533 HER    
1811+41B  VAR NORTH   
1811-18   SAO 161249  
1811-19   WZ SGR      
1811-23   FM SGR      
1811-28   V2905 SGR   
1811-29   V4017 SGR   
1811-41   V543 CRA    
1811-46   RS TEL      
1811-46B  NSV 10529   
1811-46C  VAR? SE     
1811-52   VZ TEL      
1812+00   V2502 OPH   
1812+36   HU LYR      
1812+41   TZ LYR      
1812+67   IX DRA      
1812-18   NSV 10543   
1812-18B  HD 313023   
1812-25A  V506 SGR    
1812-25B  V507 SGR    
1812-36   LM SGR      
1812-36B  LL SGR      
1813+06   BC OPH      
1813+17   IQ HER      
1813+34   HX LYR      
1813+40   TX LYR      
1813+46   HI LYR      
1813+49   AM HER      
1813-11   CV SER      
1813-13   NSV 24392   
1813-15   FO SER      
1813-24   V4065 SGR   
1813-24B  OB SUSPECT  
1813-25   V1016 SGR   
1813-25B  V4641 SGR   
1813-25C  GM SGR      
1814+06   AY OPH      
1814+16   SN 2000DM   
1814+31   AO LYR      
1814+42   LD 343      
1814-05   QS SER      
1814-41   V430 CRA    
1814-56   PV TEL      
1814-61   XI PAV      
1815+12   V450 OPH    
1815+12B  VAR? NW     
1815+22   AA HER      
1815+24   V632 HER    
1815+50   DV DRA      
1815-16   V4029 SGR   
1815-16B  V4030 SGR   
1815-18   Y SGR       
1815-24   V1860 SGR   
1815-25   V4028 SGR   
1815-25A  V441 SGR    
1815-25B  V511 SGR    
1815-25C  XZ SGR      
1815-27   V4633 SGR   
1815-31   V3804 SGR   
1815-55   WW TEL      
1815-83   NSV 10934   
1816+04   V915 OPH    
1816+05   NW SER      
1816+31   TU LYR      
1816+31B  111 COMP N  
1816-25   GO SGR      
1816-27   WW SGR      
1816-55   WY TEL      
1816-65   DP PAV      
1817+04   DI SER      
1817+30   TV LYR      
1817+38   V391 LYR    
1817-04   LANNING 17  
1817-12   FR SCT      
1817-18   V4361 SGR   
1817-23   V4171 SGR   
1817-27   V1978 SGR   
1817-28   V4169 SGR   
1817-30   AZ SGR      
1817-33   LN SGR      
1817-33B  V1869 SGR   
1817-45A  V576 CRA    
1817-45B  V581 CRA    
1817-56   RZ TEL      
1817-76   VV OCT      
1818+15   SN 1998V    
1818+23   V443 HER    
1818+23B  118 COMP N  
1818+28   AZ HER      
1818+28B  VAR? NE     
1818+28C  113 COMP N  
1818+46   MX LYR      
1818+50   EO DRA      
1818+59   RU DRA      
1818-12   V376 SCT    
1818-16   V355 SGR    
1818-24   GU SGR      
1818-30   V1872 SGR   
1818-30B  V4739 SGR   
1819+05   DK SER      
1819+18   DG HER      
1819-16   XX SGR      
1819-23   V1658 SGR   
1819-23B  NSV 10766   
1819-25   V4019 SGR   
1819-28   V4018 SGR   
1819-29   V3941 SGR   
1819-33   V1874 SGR   
1819-53   BG TEL      
1820+11   V578 OPH    
1820+38   NSV 10756   
1820+39   TW LYR      
1820+39B  IR LYR      
1820-21   V1984 SGR   
1820-27   BS SGR      
1821+03   V988 OPH    
1821+11   V2204 OPH   
1821+31   IS LYR      
1821+72   RT DRA      
1821-27A  LP SGR      
1821-27B  V1988 SGR   
1821-27C  V3928 SGR   
1821-33   RV SGR      
1821-34   V1883 SGR   
1822+00   D SER       
1822+03   HD 170137   
1822+05   BL SER      
1822+15   NSV 10836   
1822+15B  V991 HER    
1822+17   V992 HER    
1822+23   3C 379 HER  
1822+23B  V993 HER    
1822+24   SV HER      
1822+31   IT LYR      
1822+69   AP DRA      
1822-15   V391 SCT    
1822-21   HS SGR      
1822-27   LQ SGR      
1822-33   V1884 SGR   
1822-62   NU PAV      
1823+00   VV SER      
1823+06   T SER       
1823+50   CZ DRA      
1823-11   TX SCT      
1823-27   V1994 SGR   
1823-32   V3462 SGR   
1823-56   SS TEL      
1824+06   NSV 10892   
1824+10   V451 OPH    
1824+11   V602 OPH    
1824+15   Q1992/076   
1824+31   V559 LYR    
1824-16   SS SGR      
1824-17   V4362 SGR   
1824-24   V3890 SGR   
1825+02   FH SER      
1825+21   NSV 10932   
1825+32   IX LYR      
1825+33   V443 LYR    
1825+49   AL DRA      
1825-18   V SGR       
1825-22   V1677 SGR   
1825-29   V1017 SGR   
1825-29B  LR SGR      
1825-32   V2572 SGR   
1825-33   V934 SGR    
1825-34   V910 SGR    
1825-54   YY TEL      
1826+04   TY OPH      
1826+06   BI OPH      
1826+12   RX HER      
1826+21   AC HER      
1826+34   SN 2001BR   
1826+37   KL LYR      
1826+39   GSC3105.13  
1826-09   VW SCT      
1826-19   U SGR       
1826-22   V2002 SGR   
1827+38   KP LYR      
1827+48   GSC3530275  
1827-14   V450 SCT    
1827-19   V2003 SGR   
1827-20   V4049 SGR   
1827-20A  V3876 SGR   
1827-20B  V1907 SGR   
1827-20C  V1683 SGR   
1827-25   V1905 SGR   
1827-29   HAD V48     
1827-32   V911 SGR    
1828+03   AG SER      
1828+36   T LYR       
1828+37   SN 1999CQ   
1828+46   V562 LYR    
1828-14   V463 SCT    
1828-17   NSV 11033   
1828-26   V4077 SGR   
1829+16   DS HER      
1829+16B  VAR? HER    
1829+18   NSV 24505   
1829+22   V774 HER    
1829+25   BM HER      
1829+37   EW LYR      
1829+42   OP LYR      
1829-13   FV SCT      
1829-22   V4400 SGR   
1829-30   IW SGR      
1830+06   V851 OPH    
1830+24A  CH HER      
1830+24B  161 COMP S  
1830+24C  122 VAR? N  
1830+32   KZ LYR      
1830-18   V3645 SGR   
1830-36   V942 SGR    
1830-37   BP CRA      
1831+04   BQ SER      
1831+25   BN HER      
1831+38   LL LYR      
1831+38B  VAR A       
1831+38C  VAR B       
1831+38D  107 COMP E  
1831+38E  136 COMP E  
1831+38F  TASVJ1835+  
1831+46   SZ LYR      
1831+49A  SV DRA      
1831+49B  NSV 11055   
1831+51   BY DRA      
1831-30   V947 SGR    
1831-71   ZETA PAV    
1831-74   V347 PAV    
1832+24   CI HER      
1832+25   RZ HER      
1832+27   CE LYR      
1832+27B  FT LYR      
1832+51   HK DRA      
1832-06   EW SCT      
1832-08   Y SCT       
1832-23   V4021 SGR   
1832-36   V742 SGR    
1832-57   BG PAV      
1833+08   X OPH       
1833+08B  VAR? NE     
1833+08C  V648 OPH    
1833+11   V2303 OPH   
1833-20   V1702 SGR   
1833-33   V4745 SGR   
1833-81   TY OCT      
1834+39   XY LYR      
1834+39B  NSV 11271   
1834-06   XX SCT      
1834-20   KO SGR      
1834-23   V348 SGR    
1834-23B  V2023 SGR   
1834-37A  U CRA       
1834-37E  AM CRA      
1834-57   BD PAV      
1835+31   LT LYR      
1835+51   NSV 24534   
1835-04   RR SCT      
1835-06   CK SCT      
1835-33   V3774 SGR   
1835-37   V693 CRA    
1835-43   HD 172486   
1836+32   CM LYR      
1836+40   V491 LYR    
1836+66   NSV 11152   
1836-04   RU SCT      
1836-04B  TY SCT      
1836-07   V453 SCT    
1836-09   DELTA SCT   
1836-20   V1707 SGR   
1836-22   V1927 SGR   
1836-22B  V349 SGR    
1836-38   V446 CRA    
1836-45   RW TEL      
1836-65   SN 2001CN   
1837+00   HK AQL      
1837+28   SY LYR      
1837+31   EY LYR      
1837-05   Z SCT       
1837-07   NSV 11235   
1837-19   V3879 SGR   
1837-21   V1930 SGR   
1837-21B  V1710 SGR   
1838+28   FI LYR      
1838+30   VX LYR      
1838-03   V1485 AQL   
1838-07   SS SCT      
1838-13   RV SCT      
1838-21   MV SGR      
1838-21B  VAR? W      
1838-23   KV SGR      
1838-37   V644 CRA    
1838-38   RT CRA      
1838-38B  V412 CRA    
1839+15   V827 HER    
1839+22   AE HER      
1839+22B  VAR E       
1839+22C  VAR? NE     
1839+22D  117 COMP S  
1839+35   AX LYR      
1839+35B  FM LYR      
1839+36   HK LYR      
1839-09   FH SCT      
1839-20   V350 SGR    
1839-38   CD CRA      
1840+07   RZ OPH      
1840+08   T AQL       
1840+12   QX HER      
1840+23A  DW HER      
1840+23B  VAR? NW     
1840+38   NSV 11284   
1840+40   MP LYR      
1840+74   RS DRA      
1840-06   GL SCT      
1840-08   V368 SCT    
1840-19   V4405 SGR   
1840-31   NSV 24581   
1840-38   V CRA       
1841+09   V874 AQL    
1841+12   V838 HER    
1841+12B  BB HER      
1841+34   RY LYR      
1841+37   AY LYR      
1841+37B  VAR? SE     
1841+37D  142 COMP E  
1841+37E  STAR W      
1841+39   EPS2 LYR    
1841+43   V344 LYR    
1841-05   NSV 24587   
1841-05B  NSV 24584   
1841-08   V444 SCT    
1841-08B  V455 SCT    
1841-22   V1939 SGR   
1841-25   V522 SGR    
1842+09   V1434 AQL   
1842+10   V474 AQL    
1842+10B  KO AQL      
1842+12   KZ HER      
1842+36   SV LYR      
1842+43   RW LYR      
1842-02   AB AQL      
1842-05   R SCT       
1842-05B  56 COMP NE  
1842-12   V SCT       
1842-20   NSV 24592   
1842-22   NT SGR      
1843+00   V603 AQL    
1843+19   MZ HER      
1843-16   YZ SGR      
1843-20   NW SGR      
1843-23   V1216 SGR   
1843-26   NSV 24607   
1843-62   LAMBDA PAV  
1844+45   SN 2002CS   
1844-06   V443 SCT    
1844-08   S SCT       
1844-08B  82 COMP E   
1844-08C  95 COMP NE  
1844-08D  V456 SCT    
1844-10   RT SCT      
1844-21   V4332 SGR   
1844-38   V384 CRA    
1845+11   V478 AQL    
1845+53   BZ DRA      
1845-07   V457 SCT    
1845-08   NSV 24616   
1845-20   BB SGR      
1845-38   AA CRA      
1846+15   AP HER      
1846+28   CV LYR      
1846+33   BETA LYR    
1846-01   CI AQL      
1846-01B  V1363 AQL   
1846-01C  V1364 AQL   
1846-38   UZ CRA      
1846-67   KAPPA PAV   
1847+09   V487 AQL    
1847+12   LO HER      
1847-24   OQ SGR      
1847-24B  AS 327      
1848+09   V1435 AQL   
1848+11   VW AQL      
1848+11B  108 COMP S  
1848+26   CY LYR      
1848+33   HM LYR      
1848+46   NSV 11453   
1848+48   TU DRA      
1848-19   FN SGR      
1848-19B  V4368 SGR   
1848-19C  NSV 11479   
1848-31   V1223 SGR   
1848-31B  NSV 11495   
1849+10   V913 AQL    
1849+29   HR LYR      
1849-16   UX SGR      
1849-19   V2070 SGR   
1850+27   BE LYR      
1850+32   RX LYR      
1850+32B  119 COMP S  
1850+35   V407 LYR    
1850+36   SU LYR      
1850+36B  114 COMP E  
1850+40   WY LYR      
1850-03   EL AQL      
1850-04   EU SCT      
1850-07   V373 SCT    
1850-08   T SCT       
1851+10   V800 AQL    
1851+29   SW LYR      
1851+31   SX LYR      
1851+32   FF LYR      
1851+36   DELTA2 LYR  
1851-10   RW SCT      
1852+00   UW AQL      
1852+06   V840 AQL    
1852+13   V446 HER    
1852+43   R LYR       
1852+51   BG DRA      
1852-00   V493 AQL    
1852-28   - SGR       
1852-29   V4152 SGR   
1853+16   EU AQL      
1853+17   FF AQL      
1853+28   BI LYR      
1853+31   OQ LYR      
1853-05   FS SCT      
1853-07   V1437 AQL   
1853-08   AD AQL      
1853-23   AR SGR      
1853-30   V394 SGR    
1854+13   V1286 AQL   
1854+13B  NSV 11618   
1854+14   UV AQL      
1854+22   V406 VUL    
1854+30   DM LYR      
1854+31   DL LYR      
1854-01   VX AQL      
1854-06   AE AQL      
1854-37A  S CRA       
1854-37B  TY CRA      
1855+30   BK LYR      
1855-12A  ST SGR      
1855-22   V4743 SGR   
1855-37A  R CRA       
1855-37B  T CRA       
1856+00   V336 AQL    
1856+14   V1439 AQL   
1856+32   NSV 11641   
1856+34   Z LYR       
1856+42   V358 LYR    
1856-04   V604 AQL    
1856-13   V1059 SGR   
1856-17   DW SGR      
1857+37   RT LYR      
1857+37B  120 COMP W  
1857+37C  105 COMP N  
1857-05   SAO 142956  
1857-07   VY AQL      
1857-17   V919 SGR    
1857-22   SU SGR      
1858+12   V915 AQL    
1858+14   NSV 11685   
1858+19   MIS V108    
1858+25   BL LYR      
1858+42   V493 LYR    
1858-12   V359 SGR    
1858-51   BL TEL      
1859+01   SZ AQL      
1859+08   NSV 11707   
1859+16   V1413 AQL   
1859+16B  NSV 24674   
1859+33   V494 LYR    
1859+47   WZ LYR      
1859-04   HR 7225     
1859-05   V AQL       
1859-07   V1440 AQL   
1859-46   RX TEL      
1900+01   HD 177550   
1900+12   NSV 11719   
1900+17A  V338 AQL    
1900+17B  V807 AQL    
1900+17C  VAR? SW     
1900+21   QV VUL      
1900+21B  VAR? NW     
1900+27   BM LYR      
1900-01   V1425 AQL   
1901+01   NSV 11741   
1901+08   R AQL       
1901+08B  VAR S       
1901+08C  88 COMP SE  
1901+08D  95 COMP SS  
1901+08E  107 COMP N  
1901+08F  76 COMP NW  
1901+08G  STAR SW     
1901+08H  78 COMP NW  
1901+08I  79 COMP NW  
1901+08J  85 COMP W   
1901+08K  85 COMP SW  
1901+08L  126 COMP S  
1901+08M  66 COMP NW  
1901+08N  KKA SUSP    
1901+08O  83 COMP NE  
1901+12   V1442 AQL   
1901+27   UU LYR      
1901-20   V1082 SGR   
1901-29   AG SGR      
1902+07   V844 AQL    
1902+10   V841 AQL    
1902+11   V1548 AQL   
1902+11B  124 COMP W  
1902+11C  133 COMP N  
1902+11D  128 COMP N  
1902+31   BP LYR      
1903+01   TT AQL      
1903+12   V1493 AQL   
1903+17   SV SGE      
1903+17B  94 COMP N   
1903+29   DW LYR      
1903+30   V478 LYR    
1903+33   AB LYR      
1903+34   AD LYR      
1903+35   IOTA LYR    
1903+41   V550 LYR    
1903-17   V1089 SGR   
1903-50   SN 1998DQ   
1903-57   SN 2000CJ   
1904+10   FM AQL      
1904+17   IL SGE      
1904+26   AE LYR      
1904+30   XZ LYR      
1904+31   V415 LYR    
1904+39   V398 LYR    
1904+43   MV LYR      
1904+43B  VAR? SW     
1904+43C  NSV 11753   
1904+43D  129 COMP S  
1904+43E  129 COMP W  
1904+43F  120 COMP E  
1904+43G  V449 LYR    
1904-05   IR AQL      
1904-20   V1157 SGR   
1905+27   TY LYR      
1905+27B  109 COMP S  
1905+29A  V LYR       
1905+29B  VZ LYR      
1905+29C  96 COMP WW  
1905+29D  92 COMP WW  
1905+29E  92 COMP W   
1905+29F  GY LYR      
1905+30   BR LYR      
1905+32   V498 LYR    
1905+36   NSV 11774   
1905+42   V363 LYR    
1905+52   CG DRA      
1905-15   V3954 SGR   
1905-59   SN 2001BT   
1906+04   V1343 AQL   
1906+17   KK SGE      
1906+27A  UV LYR      
1906+27B  FK LYR      
1906+27C  GZ LYR      
1906+29   V419 LYR    
1906+43   ST LYR      
1906-19   V353 SGR    
1907+01   KQ AQL      
1907+01B  V351 AQL    
1907+03   FN AQL      
1907+22   RT VUL      
1907+28   UW LYR      
1907+29   EE LYR      
1907+32   OU LYR      
1907+38   EG LYR      
1907+38B  EF LYR      
1907-21   TW SGR      
1907-33   V2408 SGR   
1907-62   V344 PAV    
1908+01   V1419 AQL   
1908+02   V842 AQL    
1908+32   V369 LYR    
1908-17   TX SGR      
1908-18   RX SGR      
1908-19A  RW SGR      
1908-19B  BH SGR      
1909+04   XY AQL      
1909+04B  VAR B       
1909+04C  VAR A       
1909+12   V1315 AQL   
1909+25   S LYR       
1909+26   X LYR       
1909+30   BT LYR      
1909+31   EL LYR      
1909+33   RS LYR      
1909+33B  103 COMP E  
1909+41   RU LYR      
1909+65   SZ DRA      
1909+67   U DRA       
1909-00   IV AQL      
1909-07   TY AQL      
1909-31   V344 SGR    
1910+00   V354 AQL    
1910+27   AI LYR      
1910+33B  WW LYR      
1910+38   NSV 11839   
1910+40   TK4 LYR     
1910+46   SS LYR      
1910+46B  136 COMP N  
1910-07   W AQL       
1910-08   WW AQL      
1910-17   T SGR       
1910-19   R SGR       
1910-19B  VAR W       
1910-26   V729 SGR    
1910-33   RY SGR      
1910-33B  102 CMP EE  
1910-39   RU CRA      
1911+03   V1378 AQL   
1911+19   LX SGE      
1911+25   V376 VUL    
1911+36   V501 LYR    
1911+62   AD DRA      
1911-00   FO AQL      
1911-17   AL SGR      
1911-24   TY SGR      
1911-24B  136 COMP S  
1912+00   V355 AQL    
1912+01   V356 AQL    
1912+04   V1301 AQL   
1912+08   V1450 AQL   
1912+09   V342 AQL    
1912+21   CG VUL      
1912+27   V473 LYR    
1912+37   NSV 11873   
1912-00   FP AQL      
1913+01   V605 AQL    
1913+22   RS VUL      
1913+30   V433 LYR    
1913+37   TK5 LYR     
1913+50   TZ CYG      
1913-16   V1942 SGR   
1913-19   S SGR       
1913-21   Z SGR       
1913-31   SW SGR      
1913-33   V345 SGR    
1914+00A  CY AQL      
1914+00B  V528 AQL    
1914+00C  V529 AQL    
1914+03   ER AQL      
1914+19   U SGE       
1914+27   EP LYR      
1914+34   V502 LYR    
1914+42   HN LYR      
1914-08   NSV 11912   
1914-17   V4414 SGR   
1914-31   V3955 SGR   
1915+17   W SGE       
1915+19A  NX SGE      
1915+19B  OO SGE      
1915+22   V389 VUL    
1915+27   AL LYR      
1915+28   PW LYR      
1915+29   PX LYR      
1915+29B  106 COMP N  
1915+29C  VAR? E      
1915+32   AM LYR      
1915-00   V606 AQL    
1915-01   V530 AQL    
1915-04   TAV1918-04  
1915-18   V2139 SGR   
1915-50   NT TEL      
1916+04   V1430 AQL   
1916+19   OO VUL      
1916+29A  AV CYG      
1916+29B  V1105 CYG   
1916+37   U LYR       
1916+40   ER LYR      
1916+41   HO LYR      
1916-00   V358 AQL    
1916-28   V730 SGR    
1916-32   AM SGR      
1917+17   T SGE       
1917+19   OR VUL      
1917+25   Z VUL       
1917+29   DV CYG      
1917+42   NSV 11944   
1917+49   V1946 CYG   
1917-10   NSV 11960   
1918+02   V1370 AQL   
1918+02B  VAR W       
1918+04   V1494 AQL   
1918+05A  EM AQL      
1918+06B  V531 AQL    
1918+19A  OX VUL      
1918+19B  OW VUL      
1918+26   IP VUL      
1918+28   V840 CYG    
1918+29   V1254 CYG   
1918+31   AN LYR      
1918+39   HP LYR      
1919+03   FU AQL      
1919+04   V1229 AQL   
1919+04B  126 COMP E  
1919+24   V335 VUL    
1919+26   IQ VUL      
1919+28   DW CYG      
1919-20   TT SGR      
1920+02   - AQL       
1920+04   EX AQL      
1920+19   OZ VUL      
1920+28   V1114 CYG   
1920+29   BF CYG      
1920+29B  VAR? E      
1920+29C  VAR? NW     
1920+29E  125 COMP N  
1920+41   FP LYR      
1920+52   V1113 CYG   
1920-10   DH AQL      
1920-10B  STAR B      
1921+02   V366 AQL    
1921+03   V1454 AQL   
1921+03B  V1539 AQL   
1921+07   V368 AQL    
1921+21   WW VUL      
1921+21B  110 COMP N  
1921+50   CH CYG      
1921+50B  VAR? NE     
1921+50C  KIS SUSP 1  
1921+50D  KIS SUSP 2  
1921+50E  KIS SUSP 3  
1921+50F  KIS SUSP 4  
1921+50G  86 COMP SE  
1921+50H  KIS SUSP 5  
1921+50I  KIS SUSP 6  
1921+50J  KIS SUSP 7  
1921+50K  74 COMP SE  
1921+50L  81 COMP NE  
1921+50M  SAO 31628   
1921-18   AN SGR      
1922+01   TU AQL      
1922+02   V370 AQL    
1922+11   V1302 AQL   
1922+11B  IRC 10420   
1922+27   PW VUL      
1922+27B  V1742 CYG   
1922+29   V687 CYG    
1922+34   V504 LYR    
1922+42   RR LYR      
1922+42B  6.2 COMP    
1922+88   LAMBDA UMI  
1923+02   V1235 AQL   
1923+04   DM AQL      
1923+09   V1457 AQL   
1923+11   V1456 AQL   
1923+29   FK CYG      
1923+31   DZ CYG      
1923+33   FL CYG      
1923+42   HQ LYR      
1923+59   KL DRA      
1923-06   STHA 164    
1923-16   V4418 SGR   
1924+20   NQ VUL      
1924+32   HH CYG      
1924+54   V2176 CYG   
1924+71   YZ DRA      
1924-07   U AQL       
1925+01   GH AQL      
1925+02   NSV 12088   
1925+03   V923 AQL    
1925+28   V868 CYG    
1925+28B  V1505 CYG   
1925+42   V1504 CYG   
1925+45   AW CYG      
1925+76   UX DRA      
1925-01   V374 AQL    
1926+02   GI AQL      
1926+29A  FM CYG      
1926+29B  FN CYG      
1926-02   V822 AQL    
1926-06   DO AQL      
1927+01   GL AQL      
1927+33   V792 CYG    
1927+34   DD CYG      
1927+45   AF CYG      
1927+45B  76 COMP SE  
1927+49   V1123 CYG   
1927-00   ES AQL      
1927-16   V3790 SGR   
1927-53   SN 1998BW   
1928+03   V1294 AQL   
1928+04   V1293 AQL   
1928+05   V450 AQL    
1928+18   NSV 12126   
1928+31   V1125 CYG   
1928+43   UV CYG      
